producto_id,marca_vehiculo
91,FORD
90,FORD
83,FORD
82,CHEVROLET
82,VW
81,NISSAN
80,VW
79,VW
78,FORD
76,CHEVROLET
76,FORD
75,CHEVROLET
74,CHEVROLET
73,MITSUBISHI
72,RENAULT
71,RENAULT
70,FIAT
69,CHEVROLET
69,NISSAN
68,VW
67,CHEVROLET
66,RENAULT
66,VW
64,RENAULT
64,VW
65,PEUGEOT
63,CITROEN
63,PEUGEOT
62,CITROEN
62,PEUGEOT
61,PEUGEOT
60,RENAULT
59,FORD
58,PEUGEOT
57,VW
56,CHEVROLET
56,VW
55,RENAULT
55,VW
54,CHEVROLET
53,RENAULT
53,VW
52,PEUGEOT
51,FORD
51,RENAULT
50,RENAULT
50,VW
49,CITROEN
48,PEUGEOT
47,IVECO
45,PEUGEOT
45,RENAULT
46,VW
44,RENAULT
43,PEUGEOT
42,PEUGEOT
41,RENAULT
40,NISSAN
40,PEUGEOT
39,CITROEN
39,PEUGEOT
39,VW
38,CITROEN
38,FIAT
37,VW
36,VW
35,CITROEN
35,PEUGEOT
34,FORD
32,FORD
32,PEUGEOT
31,PEUGEOT
31,RENAULT
89,VW
88,PEUGEOT
87,RENAULT
87,VW
86,VW
85,VW
84,PEUGEOT
30,CHEVROLET
30,FIAT
29,CHEVROLET
29,NISSAN
28,RENAULT
27,RENAULT
22,FIAT
21,RENAULT
20,FIAT
19,RENAULT
17,CHEVROLET
13,PEUGEOT
13,RENAULT
12,HONDA
12,RENAULT
11,FIAT
10,NISSAN
16,CITROEN
15,FIAT
14,PEUGEOT
5,VW
9,FIAT
9,PEUGEOT
8,FIAT
7,CHEVROLET
6,RENAULT
4,VW
3,HONDA
3,RENAULT
2,FIAT
1,RENAULT
92,FORD
93,RENAULT
94,RENAULT
95,RENAULT
96,PEUGEOT
97,PEUGEOT
98,PEUGEOT
99,CHEVROLET
100,PEUGEOT
100,RENAULT
101,FIAT
102,VW
103,VW
104,FIAT
105,FORD
107,PEUGEOT
106,FIAT
109,VW
110,VW
108,VW
111,PEUGEOT
113,PEUGEOT
112,PEUGEOT
114,PEUGEOT
115,CHEVROLET
116,CHEVROLET
122,VW
118,FIAT
119,FIAT
117,VW
120,CHEVROLET
120,FIAT
123,RENAULT
124,VW
121,CHEVROLET
161,TOYOTA
144,CITROEN
140,TOYOTA
152,PEUGEOT
136,RENAULT
137,RENAULT
160,RENAULT
153,RENAULT
128,VW
139,VW
154,VW
157,FORD
158,FORD
