id,categoria,codigo,marca,descripcion,precio,stock,proveedor,fecha_actualizacion
1,Correas Poly V,3PK715,SKF,"RENAULT CLIO, R19",5000,1,GRUPO AUTOPARTES,2026-05-27
2,Correas Poly V,3PK719,SKF,"FIAT PUNTO 1.7, PALIO 1.7",5000,1,GRUPO AUTOPARTES,2026-05-19
3,Correas Poly V,3PK750,SKF,"HONDA CIVIC, CLIO II",5000,2,GRUPO AUTOPARTES,2026-06-29
4,Correas Poly V,3PK796,SKF,"VW FOX, SURAN, GOL TREND",9500,6,GRUPO AUTOPARTES,2026-05-19
5,Correas Poly V,3PK796EE,SKF,"VW FOX, GOL",15000,1,GRUPO AUTOPARTES,2026-07-01
6,Correas Poly V,3PK830,SKF,RENAULT CLIO,6000,4,GRUPO AUTOPARTES,2026-05-19
7,Correas Poly V,3PK890,SKF,"CHEV PRISMA, ONIX",7500,5,GRUPO AUTOPARTES,2026-05-19
8,Correas Poly V,3PK905,SKF,"FIAT PUNTO 1.4, IDEA, PALIO",4500,6,GRUPO AUTOPARTES,2026-05-19
9,Correas Poly V,3PK938,SKF,"PEUGEOT BOXER, FIAT PUNTO",7500,1,GRUPO AUTOPARTES,2026-05-19
10,Correas Poly V,4PK1005,SKF,NISSAN,10000,1,GRUPO AUTOPARTES,2026-05-19
11,Correas Poly V,4PK1022,SKF,"FIAT, PALIO, SIENA, STRADA",9000,2,GRUPO AUTOPARTES,2026-05-19
12,Correas Poly V,4PK1070,SKF,"RENAULT CLIO 1.2, HONDA",9500,1,GRUPO AUTOPARTES,2026-05-19
13,Correas Poly V,4PK1538,SKF,"PEUGEOT 206, RENAULT CLIO II",10500,2,GRUPO AUTOPARTES,2026-07-01
14,Correas Poly V,4PK855,SKF,"PEUOGEOT PARNET, 306",7000,1,GRUPO AUTOPARTES,2026-05-19
15,Correas Poly V,4PK907,SKF,"FIAT PALIO, SIENA, PALIO AVENTURE",9000,1,GRUPO AUTOPARTES,2026-05-19
16,Correas Poly V,4PK955,SKF,CITROEN BX,6500,1,GRUPO AUTOPARTES,2026-05-19
17,Correas Poly V,5PK1030,DAYCO,"CHEV PRISMA, ONIX",10000,2,GRUPO AUTOPARTES,2026-05-27
18,Correas Poly V,5PK1135,SKF,,12000,1,GRUPO AUTOPARTES,2026-05-19
19,Correas Poly V,5PK1137,SKF,"RENAULT MEGANE, KANGOO",11500,2,GRUPO AUTOPARTES,2026-05-19
20,Correas Poly V,5PK1152,SKF,FIAT DOBLO,13500,0,GRUPO AUTOPARTES,2026-05-19
21,Correas Poly V,5PK1165,SKF,"RENAULT R9, R11",10000,2,GRUPO AUTOPARTES,2026-05-19
22,Correas Poly V,5PK1170,SKF,"FIAT MOBI, IDEA 1.4, PALIO 1.4",11000,2,GRUPO AUTOPARTES,2026-05-19
23,Correas Poly V,5PK1173,SKF,,12500,1,GRUPO AUTOPARTES,2026-05-19
24,Correas Poly V,5PK1190,SKF,,9500,2,GRUPO AUTOPARTES,2026-05-19
25,Correas Poly V,5PK1195,DAYCO,,10000,1,,2026-06-12
26,Correas Poly V,5PK1700,DAYCO,UNIVERSAL,18000,1,GRUPO AUTOPARTES,2026-05-27
27,Correas Poly V,5PK1750,SKF,"RENAULT CLIO, MEGANE, KANGOO",12000,2,GRUPO AUTOPARTES,2026-05-19
28,Correas Poly V,5PK1755,DAYCO,RENAULT KANGOO,12000,1,GRUPO AUTOPARTES,2026-05-27
29,Correas Poly V,5PK1795,SKF,"CHEV CORSA, NISSAN",14500,1,GRUPO AUTOPARTES,2026-05-19
30,Correas Poly V,5PK1815,DAYCO,"CHEV MERIVA, MONTANA, SORSA II,FIAT IDEA",13500,1,GRUPO AUTOPARTES,2026-05-27
31,Correas Poly V,6PK1000,SKF,"PEUGEOT 307, RENAULT CLIO",8500,1,GRUPO AUTOPARTES,2026-05-19
32,Correas Poly V,6PK1015,SKF,"PEUGEOT 407, PARNET, FORD RANGER",13500,1,GRUPO AUTOPARTES,2026-05-19
33,Correas Poly V,6PK1029,SKF,,17000,1,GRUPO AUTOPARTES,2026-05-19
34,Correas Poly V,6PK1030EE,SKF,"FORD KA, FIESTA, ECOSPORT",16000,1,GRUPO AUTOPARTES,2026-05-19
35,Correas Poly V,6PK1045,SKF,"PEUGEOT PARNET, 3008, CITROEN BERLINGO",12500,1,GRUPO AUTOPARTES,2026-05-19
36,Correas Poly V,6PK1065,SKF,"VW GOLF, POLO",13500,2,GRUPO AUTOPARTES,2026-05-19
37,Correas Poly V,6PK1070,SKF,"VW GOL 2.0, GOL 1.8, VOYAGE",12500,1,GRUPO AUTOPARTES,2026-05-19
38,Correas Poly V,6PK1080,SKF,"CITROEN ZX, FIAT PALIO",14500,1,GRUPO AUTOPARTES,2026-05-19
39,Correas Poly V,6PK1090,SKF,"VW SUEAN 1.9, PEUGEOT 307, CITROEN C3",14500,1,GRUPO AUTOPARTES,2026-05-19
40,Correas Poly V,6PK1100,SKF,"NISSAN, PEUGEOT 306",12500,1,GRUPO AUTOPARTES,2026-05-19
41,Correas Poly V,6PK1141,SKF,"RENAULT CLIO 2.0, CLIO, VOLVO",11000,2,GRUPO AUTOPARTES,2026-05-19
42,Correas Poly V,6PK1152,SKF,"PEUGEOT 206, 306",11000,1,GRUPO AUTOPARTES,2026-05-27
43,Correas Poly V,6PK1165,SKF,"PEUGEOY 406, PARNET",10500,1,GRUPO AUTOPARTES,2026-05-19
44,Correas Poly V,6PK1190,SKF,RENAULT KANGOO,13000,1,GRUPO AUTOPARTES,2026-05-19
45,Correas Poly V,6PK1200,SKF,"PEUGEOT 406, 307, 206, RENAULT CLIO",10000,7,GRUPO AUTOPARTES,2026-05-19
